 IP Address , Computer Name , Domain , MAC Address , OfficeScan Client Status , Ping Result , Product name , Platform , OfficeScan Server , Version , Pattern File , Scan Engine , Outbreak Prevention Policy , Computer Description , Remote Installation
141.195.132.50,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.51,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.52,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.53,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.54,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.55,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.56,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.57,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.58,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.59,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.60,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.61,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.62,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.63,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.64,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.65,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.66,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.67,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.68,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.69,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.70,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.71,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.72,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.73,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.74,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.75,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.76,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.77,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.78,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.79,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.80,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.81,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.82,,,,Unreachable,Time Out,NA,NA,,,,,,,
